text,top_terms,sgrank_idf,sgrank
"Rédactionnel. I. – À la première phrase de l'alinéa 60, supprimer la référence : « à l'article L. 162‑17‑2‑1, ». II. – En conséquence, à la même phrase, après la référence : « L. 162‑16‑5‑2 », insérer la référence : « , L. 162‑17‑2‑1 ». III. – En conséquence, à la seconde phrase du même alinéa, après la seconde occurrence du mot : « santé » insérer les mots : « et prestations associées ».","L. 162‑17‑2‑1
référence
phrase
conséquence
L.","article L. 162‑17‑2‑1
référence
phrase
alinéa
L. 162‑17‑2‑1","article L. 162‑17‑2‑1
référence
phrase
L. 162‑17‑2‑1
alinéa"
"Avec cet article 11, le Gouvernement propose de corriger les effets néfastes, pour les français modestes, de la hausse de la CSG d'1,7 points votée l'année dernière. Le groupe socialiste avait déjà dénoncé ces effets pervers qui ont eu des conséquences diverses sur le pouvoir d'achat des Français : - Pour les fonctionnaires : le Gouvernement avait prévu une compensation à hauteur de 3 milliards d'euros, c'est à dire en dessous de la hausse de CSG ce qui s'est traduit par une perte de pouvoir d'achat - Pour les retraités : la hausse concernait celles et ceux actuellement assujettis au taux de 6,3 %. Ainsi pour une personne seule, cette hausse s'applique dès que le revenu fiscal de référence dépasse 14 375 euros (soit 1289 euros par mois si la personne a moins de 65 ans et 1394 euros par mois si elle a plus de 65 ans). Le groupe socialiste a estimé, qu'appliquer une telle hausse sans compensation aux retraités n'était pas acceptable en termes de pouvoir d'achat. Et le correctif proposé actuellement par le Gouvernement est insuffisant puisqu'il ne couvre que les hausses de CSG exceptionnelles, celles qui sont dues à des variations extraordinaires de revenu des foyers modestes (ex : plus-value lors d'une vente d'un bien). Ainsi donc, ce rectificatif ne corrige pas (ou très à la marge) la perte de pouvoir d'achat pour les français modestes. C'est pourquoi, afin d'obtenir un équilibre entre le maintien du pouvoir d'achat des retraités français et l'exigence de sérieux dans la gestion des finances publiques, le groupe socialiste propose que la hausse de CSG pour les retraités ne s'applique pas pour les montant de retraite inférieurs au coût moyen d'une maison de retraite médicalisée. Le présent amendement est la traduction de cette proposition. Ceci représente un manque de recettes pour l'État de 1,9 milliards d'euros. Après l'alinéa 4, insérer les cinq alinéas suivants : « I bis. – Après le même III, il est inséré un III bis ainsi rédigé : « III bis. – Par dérogation aux I et au II, sont assujettis à la contribution sociale au taux de 6,6 % les pensions de retraite et les pensions d'invalidité perçues par les personnes dont les revenus de l'avant-dernière année, définis au IV de l'article 1417 du code général des impôts : « 1° D'une part, excèdent 14 375 € pour la première part de quotient familial, majorée de 3 838 € pour chaque demi-part supplémentaire. Pour la Martinique, la Guadeloupe et La Réunion, les montants des revenus sont fixés à 15 726 € pour la première part, majorés de 4 221 € pour la première demi-part et 3 838 € pour chaque demi-part supplémentaire à compter de la deuxième. Pour la Guyane et Mayotte, ces montants sont fixés, respectivement, à 16 474 €, 4 414 € et 3 838 €. « 2° D'autre part, sont inférieurs à 33 000 € pour la première part de quotient familial, majorée de 8 810 € pour chaque demi-part supplémentaire. Pour la Martinique, la Guadeloupe et La Réunion, les montants des revenus sont fixés à 36 101 € pour la première part, majorés de 9 6891 € pour la première demi-part et 8 810 € pour chaque demi-part supplémentaire à compter de la deuxième. Pour la Guyane et Mayotte, ces montants sont fixés, respectivement, à 37 819 €, 10 133 € et 8 810 €. « Les seuils mentionnés au présent III bis sont revalorisés au 1er janvier de chaque année, conformément à l'évolution en moyenne annuelle des prix à la consommation, hors tabac, constatée pour l'avant-dernière année, et arrondis à l'euro le plus proche, la fraction d'euro égale à 0,50 étant comptée pour 1. » II. – Compléter cet article par les deux alinéas suivants : « IV. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts. ».","€
demi-part
hausse
achat
part","III bis
groupe socialiste
demi-part supplémentaire
français modestes
dernière année","III bis
groupe socialiste
demi-part supplémentaire
français modestes
dernière année"
"En 2016, la France compte 10 millions de personnes souffrant d'une maladie chronique couverte dans la liste des affections de longue durée (ALD 30) de l'Assurance Maladie, soit 15 % de la population, pour 95,2 milliards d'euros de dépenses de santé, notamment liées aux arrêts maladie. Cet amendement vise à garantir aux personnes reprenant un travail à temps complet, après une période de travail à temps partiel pour motif thérapeutique, le retour à leur emploi initial ou à un emploi similaire assorti d'une rémunération au moins équivalente. Il s'agit d'une mesure d'alignement sur le régime déjà en vigueur pour le congé maternité et le congé du proche-aidant, visant à combler un vide juridique mettant en difficulté les personnes atteintes par une maladie chronique évolutive. Sans cette garantie apportée par la loi, ces personnes sont confrontées à une perte de revenus et à terme à la désinsertion professionnelle. Le chapitre 3 du titre 2 du livre 3 du code de la sécurité sociale est complété par un article L. 323‑8 ainsi rédigé : « Art. L. 323‑8. – Lors de la reprise du travail à temps complet à l'issue d'une période de reprise du travail à temps partiel pour motif thérapeutique, le salarié retrouve son emploi ou un emploi similaire assorti d'une rémunération au moins équivalente. »","emploi
temps
personnes
travail
motif","emploi similaire assorti
maladie chronique
temps complet
motif thérapeutique
temps partiel","maladie chronique évolutive
maladie chronique couverte
motif thérapeutique
temps complet
emploi similaire"
"Cet amendement vise à mettre en place une compensation tenant compte des charges de service public associés à l'aide sociale des EPHAD. La réforme de la tarification des Ehpad implique, selon une évaluation opérée auprès des établissements médico sociaux publics, une perte de plus de 200 millions euros, pour ces établissements, sur la section dépendance. Les 163 millions d'euros de gain chiffrés par la CNSA n'équilibrent pas les pertes. Près de 700 établissements sont déficitaires sur les deux sections ou sans bénéfice sur la section soin. C'est pourquoi, afin de compenser l'écart entre la perte de ressources sur la dépendance et la valorisation du forfait soins, il est proposé d'asseoir une majoration de service public sur l'habilitation à l'aide sociale des Ehpad. Les établissements habilités à l'aide sociale effectuent non seulement une mission d'accessibilité aux plus vulnérables mais également au plus grand nombre. Ces missions doivent être défendues et valorisées financièrement. La tarification non libéralisée du secteur est en effet la garantie d'un reste à charge maitrisé pour les personnes âgées et leurs familles, en adéquation avec les principes d'égalité et d'accessibilité propres au service public. Cette particularité implique des moyens de fonctionnement nettement plus contraints que dans le secteur à tarification libre et ne doit pas être pénalisé financièrement, au risque de voir les déshabilitations se multiplier.  I. – Le 2° du I de l'article L. 14‑10‑6 du code de l'action sociale et des familles est complété par un alinéa ainsi rédigé : « L'attribution de cette seconde part est majorée en fonction du nombre de places habilitées à l'aide sociale dans les établissements mentionnés au I de l'article L. 313‑12, selon des modalités fixées par décret en Conseil d'État. » II. – La perte de recettes pour l'État est compensée à due concurrence par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. III. – La perte de recettes pour les collectivités territoriales est compensée à due concurrence par la majoration de la dotation globale de fonctionnement et, corrélativement pour l'État, par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. IV. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","aide
tarification
établissements
Ehpad
perte","aide sociale
service public
due concurrence
droits mentionnés
code général","aide sociale
service public
due concurrence
code général
taxe additionnelle"
"L'article 40 de la loi n° 2000‑1257 du 23 décembre 2000 de financement de la sécurité sociale a créé le fonds pour la modernisation des établissements de santé publics et privés (FMESPP), ce qui a entraîné la disparition du fonds pour la modernisation des cliniques privées peu après et le transfert de ses obligations et créances vers le FMESPP (cf. art. 26 de la loi n° 2002‑1487 du 20 décembre 2002 de financement de la sécurité sociale pour 2003). Or, le bilan de cette opération de restructuration des fonds de modernisation par le législateur s'avère largement négatif pour les établissements et services privés. En effet, ainsi que le révèle le dernier rapport annuel de gestion du FMESPP (2016) publié par la Caisse des dépôts et des consignations : « depuis 2012, l'action du FMESPP est concentrée sur le financement de mesures nationales, en particulier les investissements et des missions d'expertise au bénéfice des établissements de santé, confiés à l'ATIH et depuis 2013 à l'ASIP ». Cette orientation ne favorise donc nullement le soutien financier, pourtant ô combien nécessaire, à apporter aux établissements et services privés en ce qui concerne leurs propres opérations de restructuration. D'autant plus que le même rapport annuel indique (p. 6) que la part des financements perçus par les établissements privés au titre du FMESPP en 2016 s'élève à 12 % (sur environ 210 millions d'euros versés au total par le fonds cette année-là) et 13 % en 2015 (sur environ 300 millions d'euros versés au total par le fonds cette année-là). La disproportion entre le secteur privé et le secteur public est donc patente et, à niveau-là, apparaît totalement injustifiée. Il paraît donc urgent que les établissements et services privés puissent recouvrer l'appui financier nécessaire aux très nombreuses opérations de réorganisation dans lesquelles ils sont déjà lancés, comme celles qu'ils envisagent de mener prochainement. La période actuelle ne manque pas, du reste, d'incitations législatives conduisant à des réorganisations dans le secteur privé. C'est en particulier ce qui motive le fait que l'accès des établissements et services médico-sociaux privés à ce soutien financier dédié doit être garanti – en raison des restructurations importantes que plusieurs réformes récentes (tarifaires et territoriales) ne manquent pas, déjà, de susciter dans ce secteur où la part prise par les établissements publics est nettement inférieure. Avant le 1er septembre 2019, le Gouvernement remet au Parlement un rapport portant sur la création d'un fonds de modernisation des établissements et services privés intervenant dans le secteur de la santé et dans le secteur médico-social.","FMESPP
fonds
établissements
modernisation
établissements et services","services privés
rapport annuel
soutien financier
établissements
euros versés","services privés
rapport annuel
soutien financier
sécurité sociale
mesures nationales"
"La filière visuelle est confrontée à une démographie stagnante des ophtalmologues, un vieillissement de la profession, une répartition inégale des professionnels de la filière sur le territoire (ophtalmologues et orthoptistes), une augmentation des soins pour les affections visuelles chroniques en lien avec l'accroissement et le vieillissement de la population. Cette situation génère des difficultés d'accès aux soins traduites notamment par l'allongement des délais d'attente pour obtenir un rendez-vous chez un ophtalmologue. Si rien n'est fait, la situation va s'aggraver, notamment en dehors des grandes villes où les ophtalmologistes ont tendance à se regrouper et où la population est plus âgée. Conformément aux préconisations de l'IGAS sur la nécessaire restructuration de la filière visuelle, un « plan d'action pour la filière visuelle » mené par le ministère des solidarités et de la santé (DSS/DGOS) en concertation avec la CNAMTS encourage la coopération entre orthoptistes et ophtalmologistes pour améliorer l'offre de soins en recentrant le travail du médecin sur les tâches les plus médicales. Dans ce cadre, la loi de financement de la sécurité sociale pour 2016 a mis en place deux types de contrats pour les soins visuels, l'un à destination des ophtalmologues libéraux, visant à les inciter à former ou à embaucher un orthoptiste pour développer le travail en coopération, l'autre à destination des structures d'exercice pluri-professionnel (maison de santé pluri-professionnelle ou centre de santé), avec pour objectif d'y implanter une offre de soins visuels, par la présence d'au moins un professionnel de la santé visuelle. Des protocoles de délégation existent aujourd'hui dans le cadre commun (RNO et protocoles organisationnels), à côté de protocoles nationaux de coopération encore en expérimentation (RNM) entre orthoptistes et ophtalmologues. Le contrat collectif pour les soins visuels ne cible actuellement que les maisons de santé pluriprofessionnelles et les centres de santé en incitant ces structures à recourir à des orthoptistes qui travailleront en coopération avec des ophtalmologistes (ces derniers pouvant, le cas échéant, intervenir à distance). Il serait tout aussi pertinent et nécessaire de soutenir la création de cabinets secondaires d'ophtalmologie ou la reprise de cabinets existants, mais dont l'ophtalmologiste part en retraite sans successeur. En effet, sur les 5900 ophtalmologistes encore en activité, plus de 2300 ont 60 ans et plus. Il y a donc une forte probabilité que l'inégalité de répartition s'aggrave sans mesure vigoureuse pour contrecarrer cette évolution. Si les médecins ne trouvent que peu d'appétence pour reprendre des cabinets isolés dans des zones en pénurie, ces cabinets transformés en cabinets secondaires avec des orthoptistes agissant sur protocoles de délégation et un roulement d'ophtalmologistes, sont un modèle qui commence à se développer et qui demande à être encouragé. Il est par conséquent logique d'étendre le dispositif du contrat collectif à la création de ces cabinets secondaires d'ophtalmologie où les patients viendront naturellement. Au premier alinéa du II de l'article L. 162‑12‑22 du code de la sécurité sociale, après la deuxième occurrence du mot : « santé », sont insérés les mots : « , les cabinets d'ophtalmologie créant un cabinet secondaire ou reprenant un cabinet d'ophtalmologie à la suite du départ en retraite d'un ophtalmologiste ».","cabinets
orthoptistes
protocoles
ophtalmologistes
ophtalmologie","filière visuelle
soins visuels
sécurité sociale
contrat collectif
cabinets secondaires","filière visuelle
soins visuels
sécurité sociale
contrat collectif
cabinets secondaires"
"Cet amendement vise à intégrer les personnes bénéficiaires de l'allocation adulte handicapé (AAH) aux services ménagers mentionnés à l'article L. 231‑1 décidé par le président du conseil départemental ou le préfet. I. – L'article L. 231‑1 du code de l'action sociale et des familles est complété par un alinéa ainsi rédigé : « Toute personne handicapée dont l'incapacité permanente est au moins égale au pourcentage fixé par le décret prévu au premier alinéa de l'article L. 821‑1 du code de la sécurité sociale ou qui est, compte tenu de son handicap, dans l'impossibilité de se procurer un emploi, peut bénéficier des prestations prévues au présent article ». II. – La perte de recettes pour l'État est compensée à due concurrence par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. III. – La perte de recettes pour les collectivités territoriales est compensée à due concurrence par la majoration de la dotation globale de fonctionnement et, corrélativement pour l'État, par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts. IV. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","code
L. 231‑1 du code de l'action sociale et des familles
L. 821‑1 du code de la sécurité sociale
article L. 821‑1
impôts","prestations prévues au présent article
services ménagers mentionnés
article L.
allocation adulte handicapé
sécurité sociale","allocation adulte handicapé
article L.
due concurrence
sécurité sociale
code général"
"L'article 51 de la LFSS 2018 a créé un cadre d'innovations organisationnelles dans le système de santé auxquelles les acteurs publics et privés peuvent pourvoir en sollicitant les financements d'un fonds dédié à cet effet, géré par la Caisse nationale d'Assurance Maladie. Le décret d'application n°2018‑2015 du 21 février 2018 a confirmé la création de ce fonds dédié tout en proposant une procédure de candidature décourageante par sa complexité administrative et par la lourdeur bureaucratique du processus de décision. La nouvelle rédaction de l'article 4 du PLFSS 2019 vise précisément à desserrer les complexités entourant cette initiative salutaire du ministère de la Santé en modifiant l'objet du fonds, transformé en Agence nationale de Recherche sur le Système de Santé (ANRSS) sur le modèle de l'Agence nationale de Recherche (ANR). Doté d'un statut d'établissement public administratif et échappant à l'autorité directe de la CNAM, la nouvelle agence est placée sous la tutelle des ministères chargés de la stratégie nationale de santé (SNS) et de la stratégie nationale de recherche et d'innovation (SNRI). L'ANRSS voit le spectre des innovations couvertes étendues au champ de la recherche clinique et à la recherche sur les données numériques de santé. L'ANRSS fonctionne sur le modèle de l'ANR comme une agence de moyens procédant à des appels à projets selon un agenda défini conjointement par l'AVIESAN et l'ARIIS, les deux alliances « sœurs » rassemblant les organismes scientifiques du secteur public et du secteur privé dans le domaine de la médecine et de la santé. Le financement d'innovations organisationnelles, thérapeutiques, technologiques et numériques est conditionné à la soumission de candidatures associant un grand organisme de recherche publique en santé et un département de R&D d'une entreprise privée de santé. Rédiger ainsi cet article : « I. – Le V de l'article L. 162‑31‑1 du code de la sécurité sociale est ainsi rédigé : « V. – Sans préjudice des règles de financement prévues au titre VI du livre Ier du présent code ou des missions du fonds d'intervention régional mentionné à l'article L. 1435‑8 du code de la santé publique, le financement des expérimentations peut être assuré par un fonds pour l'innovation du système de santé constitué en établissement public administratif. « L'Agence nationale de recherche sur le système de santé se substitue au fonds pour l'innovation du système de santé, avec pour missions de financer les innovations organisationnelles et les projets de recherche clinique élaboré en partenariats entre des organismes de recherche publique et des entreprises privées de santé. L'Agence est placée sous la tutelle du ministère chargé de la santé, du ministère chargé de l'industrie et du ministère chargé de l'innovation. L'Alliance nationale pour les sciences de la vie et de la santé et l'Alliance pour la recherche et l'innovation des industries de santé sont membres de droit du conseil de direction de la nouvelle agence. Un décret pris en Conseil d'État précise les missions, les compétences et la gouvernance du nouvel établissement public administratif. « II. – Une procédure simplifiée de candidature auprès d'un comité scientifique d'attribution des crédits sur projets pour les candidatures de partenaires grands organismes de recherche publique et entreprise privée est déterminée par décret. »","recherche
santé
fonds
ANRSS
Agence","établissement public administratif
innovations organisationnelles
santé
Agence nationale
stratégie nationale","établissement public administratif
innovations organisationnelles
santé
Agence nationale
stratégie nationale"
"Madame Isabelle Valentin a déposé une proposition de loi n° 823 visant à aider au financement du placement des personnes âgées en établissement d'hébergement pour personnes âgées dépendantes. Cette bonne initiative se doit d'être soutenue. Le coût et le placement des personnes âgées en EHPAD est un enjeu sociétal majeur. Les dépenses d'hébergement restent exclusivement à la charge des résidents sauf s'ils sont bénéficiaires de l'aide sociale départementale appliquée partiellement par les départements. Or, le coût des EHPAD est de plus en plus onéreux pour des retraités qui ont de moins en moins. La hausse de la CSG aggrave leur situation. Les familles tentent souvent de pallier cette problématique en participant, tant bien que mal, au financement des membres de leur famille qui logent dans ces hébergements pour personnes âgées dépendantes. Accompagner dignement la fin de vie est un souhait qui devrait faire l'unanimité au sein de la représentation nationale. C'est pourquoi cet amendement à aider au financement du placement des personnes âgées en établissement d'hébergement pour personnes âgées dépendantes par un membre de leur famille. I. – Après l'article 200 quater du code des impôts, il est inséré un article 200 quater AA ainsi rédigé : « Art. 200 quater AA. – Les contribuables domiciliés en France au sens de l'article 4 B peuvent bénéficier d'un crédit d'impôt sur le revenu à 50 % au titre des dépenses effectivement supportées par la contribution directe à la prise en charge en établissements d'hébergement pour personnes âgées dépendantes d'un membre de leur famille. » II. – La perte des recettes pour l'État est compensée à due concurrence par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts.","personnes
placement
hébergement
famille
AA","personnes âgées dépendantes
personnes âgées
placement
financement
hébergement","personnes âgées dépendantes
enjeu sociétal majeur
aide sociale départementale
Madame Isabelle Valentin
personnes âgées"
"Par cet article, le Gouvernement propose de remplacer le CICE par une exonération de cotisations sociales patronales. Or cette exonération se cumule avec des allègements Fillon existants. La question qui se pose est de savoir comment se traduit « l'intersection » des allègements existants avec les exonérations nouvellement mises en place. Le Gouvernement semble avoir perçu cette difficulté puisque le présent article ne donne pas la formule de calcul pour l'application de cette nouvelle exonération et renvoie à un décret l'établissement de la formule de calcul (alinéa 32 de l'article 8). Afin de bien comprendre les impacts de cet article et d'identifier qui seront les « gagnants » et les « perdants » à cet article, le groupe Socialistes & apparentés a sollicité plusieurs experts pour obtenir le niveau total de cotisations, après mise en œuvre de cet article, pour différents niveaux de salaire : 1 SMIC ; 1,1 SMIC ; 1,2 SMIC ; 1,3 SMIC ; 1,4 SMIC ; 1,5 SMIC et 1,6 SMIC. Il apparaît que des réponses différentes lui ont été fournies, ce qui atteste de la difficulté à bien saisir l'articulation entre allègement général et exonérations de cotisations sociales de 6 points. Dès lors, il apparaît crucial qu'un éclaircissement précis et chiffré soit donné par le Gouvernement. Après l'alinéa 53, insérer l'alinéa suivant : « En annexe au décret, sont présentés les effets de l'allègement général pour les rémunérations suivantes : 1 fois le salaire minimum de croissance ; 1,1 fois le salaire minimum de croissance ; 1,2 fois le salaire minimum de croissance ; 1,3 fois le salaire minimum de croissance ; 1,4 fois le salaire minimum de croissance ; 1,5 fois le salaire minimum de croissance et 1,6 fois le salaire minimum de croissance. Est également présentée l'articulation entre allègement général et exonérations de cotisations sociales de 6 points. »","salaire minimum
salaire
croissance
minimum
SMIC","allègements Fillon existants
cotisations sociales
cotisations sociales patronales
article
Gouvernement","allègements Fillon existants
cotisations sociales
cotisations sociales patronales
article
Gouvernement"
"La nouvelle convention médicale conclue en 2016 se traduit par des augmentations importantes des charges. Cette évolution est en cohérence avec le virage ambulatoire annoncé, mais il reste à s'assurer que ces dépenses nouvelles auront des effets restructurants réels, réorganisateurs et limitant véritablement les hospitalisations évitables, et ne se cantonnant pas à de simples mais très coûteux effets revenus additionnels. De ce point de vue, il manque encore un dispositif prudentiel sur la médecine de ville, à la hauteur de la sur-exécution de l'ONDAM 2016, de 2017, de 2018 déjà annoncée et par construction à prévoir pour 2019. Pour autant, il n'y a pas lieux que les efforts qui ne sont pas demandés à la médecine de ville soient consentis en totalité par les établissements de santé publics, privés non lucratifs et privés de statut commercial : qui se verraient privés ainsi complètement d'une possibilité de percevoir une part des crédits mis en réserve en début d'année 2018 dont les tarifs se verront diminuer en fonction du débasage appliqué en 2018 et en 2019 Ce sont les raisons pour lesquels la présente proposition d'amendement conjointe propose un rééquilibrage de l'article 6 (et de l'article 53), pour un partage plus équilibré de l'effort. Rédiger ainsi les deuxième à septième lignes de la seconde colonne de l'alinéa 2 : « 88,9 80,7 9,3 11,2 3,4 1,8","ville
médecine
effets
effets restructurants
restructurants","verraient privés
dispositif prudentiel
statut commercial
revenus additionnels
santé publics","effets restructurants réels
nouvelle convention médicale
dispositif prudentiel
coûteux effets
hospitalisations évitables"
"Amendement corrigeant une erreur de référence. À l'alinéa 59, substituer aux mots : « premier alinéa » la référence : « 2° ».","référence
erreur
Amendement
alinéa
mots","Amendement corrigeant
référence
alinéa
substituer
mots","référence
alinéa
mots
erreur
Amendement"
"Le présent amendement propose, à partir de 2020, un alignement sur 10 ans au lieu de 5 de la cotisation de sécurité sociale pesant sur les rhums et alcools de cru produits et consommés dans les départements d'outre-mer. Cette progressivité permettra aux acteurs de s'adapter à la hausse de fiscalité, qui est effectivement nécessaire d'un point de vue de santé publique. Cette hausse de la fiscalité contribuera par ailleurs aux actions de prévention des addictions en faveur de l'outre-mer. I. – À l'article L. 758‑1 du code de la sécurité sociale, le montant : « 0,04 euros » est remplacé par le montant : « 0,061 euros ». II. – Le I entre en vigueur à compter du 1er janvier 2020. III. – À compter du 1er janvier 2021, à l'article L. 758‑1 du même code, le montant : « 0,061 euros » est remplacé par le montant : « 0,083 euros ». IV. – À compter du 1er janvier 2022, à l'article L. 758‑1 du même code, le montant : « 0,083 euros » est remplacé par le montant : « 0,104 euros ». V. – À compter du 1er janvier 2023, à l'article L. 758‑1 du même code, le montant : « 0,104 euros » est remplacé par le montant : « 0,125 euros ». VI. – À compter du 1er janvier 2024, à l'article L. 758‑1 du même code, le montant : « 0,125 euros » est remplacé par le montant : « 0,147 euros ». VII. – À compter du 1er janvier 2025, à l'article L. 758‑1 du même code, le montant : « 0,147 euros » est remplacé par le montant : « 0,168 euros ». VIII. – À compter du 1er janvier 2026, à l'article L. 758‑1 du même code, le montant : « 0,168 euros » est remplacé par le montant : « 0,189 euros ». IX. – À compter du 1er janvier 2027, à l'article L. 758‑1 du même code, le montant : « 0,189 euros » est remplacé par le montant : « 0,211 euros ». X. – À compter du 1er janvier 2028, à l'article L. 758‑1 du même code, le montant : « 0,211 euros » est remplacé par le montant : « 0,232 euros ». XI. – À compter du 1er janvier 2029, l'article L. 758‑1 du même code est abrogé.","montant
euros
janvier
article L.
L.","article L.
1er janvier
sécurité sociale pesant
présent amendement propose
sécurité sociale","article L.
1er janvier
sécurité sociale
cru produits
progressivité permettra"
"La réforme des transports sanitaires introduite par l'article 80 de la LFSS 2017 fait désormais peser la charge des transports sur les établissements de santé, sans aucun soutien financier. Le but de cette réforme est d'utiliser les établissements de santé comme régulateur des dépenses afférentes aux transports sanitaires. Pour aller au bout de cette logique, nous proposons, pour les établissements de santé qui le souhaitent, d'avoir de droit l'agrément pour organiser leurs transports sanitaires (ce hors de la réforme). Toute autorisation d'exercer la médecine vaudrait ainsi autorisation de transport pour cette activité, inter-établissements et domicile-établissements. Cette possibilité ainsi ouverte serait de surcroit génératrice d'économies pour notre système de santé. Après la première phrase de l'article L. 162‑21‑2 du code de la sécurité sociale est insérée une phrase ainsi rédigée : « Les établissements de santé peuvent organiser leurs transports sanitaires comme tout organisme agréé mentionné à l'article L. 6312‑2 du code de la santé publique. »","transports
établissements
réforme
santé
autorisation","dépenses afférentes aux transports sanitaires
transports sanitaires introduite
réforme
transports sanitaires
établissements","transports sanitaires
dépenses afférentes aux transports sanitaires
soutien financier
réforme
santé"
"L'accès effectif aux soins des personnes en situation de précarité est entravé par un phénomène persistant de non-recours et des ruptures de droit à la couverture maladie dû à la complexité des démarches administratives et la coexistence de plusieurs dispositifs (AME, régime général de la sécurité sociale, CMU-C). Les conséquences négatives sur les plans humains, administratifs, économiques et de santé publique, prive en effet des personnes précaires de droits potentiels à l'AME. Ils rencontrent de multiples obstacles pour l'ouverture et le maintien de ce droit, et leur accès à la prévention et aux soins est difficile, alors mêmes qu'elles cumulent de nombreux facteurs de vulnérabilité. Tel est l'objet du présent amendement qui propose de simplifier le dispositif d'accès à la couverture maladie et à la part complémentaire pour garantir son effectivité. I. – Substituer à l'alinéa 75 les trois alinéas suivants : « 3° L'article L. 160‑1 est ainsi modifié : « a) Au premier alinéa, les mots « et régulière » sont supprimés ; « b) Le dernier alinéa est supprimé ; ». II. – En conséquence, après l'alinéa 78, insérer l'alinéa suivant : « 4° bis À la fin du premier alinéa l'article L. 160‑5, les mots : « et régulière » sont supprimés. » III. – En conséquence, substituer aux alinéas 95 et 96 les douze alinéas suivants : « 1° L'article L. 251‑1 est ainsi modifié : « a) Les trois premiers alinéas sont supprimés ; « b) Au début du quatrième alinéa, les mots : « En outre, » sont supprimés ; « 2° L'article L. 252‑1 est ainsi modifié : « a) Après le mot : « sociale », la fin du sixième alinéa est ainsi rédigée : « et le transmet, dans un délai de huit jours, à la caisse d'assurance maladie qui en assure l'instruction par délégation de l'État. ». « b) Au début du dernier alinéa, le mot « Toutefois, » est supprimé ; « 3° L'article L. 252‑2 est abrogé. « 4° L'article L. 252‑3 est ainsi rédigé : « Art. L. 252‑3. – L'admission à l'aide médicale de l'État est accordée pour une période d'un an. Toutefois le service des prestations est conditionné au respect de la stabilité de la résidence en France, dans des conditions fixées par décret en Conseil d'État. « Les organismes mentionnés aux articles L. 211‑1 et L. 752‑4 du code de la sécurité sociale peuvent obtenir le remboursement des prestations qu'ils ont versées à tort. En cas de précarité de la situation du demandeur, la dette peut être remise ou réduite. » « 5° L'article L. 254‑1 est ainsi rédigé : « Art. L. 254‑1. – Les soins urgents dont l'absence mettrait en jeu le pronostic vital ou pourrait conduire à une altération grave et durable de l'état de santé de la personne ou d'un enfant à naître et qui sont dispensés par les établissements de santé à celles des personnes résidant en France sans remplir la condition de résidence stable mentionnée à l'article L. 160‑1 du code de la sécurité sociale sont pris en charge dans les conditions prévues à l'article L. 251‑2. Une dotation forfaitaire est versée à ce titre par l'État à la Caisse nationale de l'assurance maladie des travailleurs salariés. »","L.
article L.
L. 160‑1
article L. 160‑1
L. 254‑1","article L.
sécurité sociale
couverture maladie
accès
soins","article L.
sécurité sociale
couverture maladie
accès
soins"
